VehicleCode,PartNumber,BarCode,ManufacturerPartNumber,PositionId,PositionValue,Attributes
125.001.02.2023,1101252,8430525155541,VP-C01,,,
125.001.02.2024,1101252,8430525155541,VP-C01,,,
125.001.03.2023,1101252,8430525155541,VP-C01,,,
125.001.03.2024,1101252,8430525155541,VP-C01,,,
125.001.04.2023,1101252,8430525155541,VP-C01,,,
125.001.04.2024,1101252,8430525155541,VP-C01,,,
084.002.01.2024,1101252,8430525155541,VP-C01,,,
084.002.02.2024,1101252,8430525155541,VP-C01,,,
084.002.03.2024,1101252,8430525155541,VP-C01,,,
101.001.01.2024,1101252,8430525155541,VP-C01,,,
125.001.01.2023,1101252,8430525155541,VP-C01,,,
125.001.01.2024,1101252,8430525155541,VP-C01,,,
082.001.01.2024,1101252,8430525155541,VP-C01,,,
084.001.01.2024,1101252,8430525155541,VP-C01,,,
084.001.02.2024,1101252,8430525155541,VP-C01,,,
084.001.03.2024,1101252,8430525155541,VP-C01,,,
084.001.04.2024,1101252,8430525155541,VP-C01,,,
084.001.05.2024,1101252,8430525155541,VP-C01,,,
028.001.02.2022,1101252,8430525155541,VP-C01,,,
028.001.02.2023,1101252,8430525155541,VP-C01,,,
028.001.03.2022,1101252,8430525155541,VP-C01,,,
028.001.03.2023,1101252,8430525155541,VP-C01,,,
031.001.01.2023,1101252,8430525155541,VP-C01,,,
031.001.01.2024,1101252,8430525155541,VP-C01,,,
041.106.01.2023,1101252,8430525155541,VP-C01,,,
041.106.01.2024,1101252,8430525155541,VP-C01,,,
041.106.02.2023,1101252,8430525155541,VP-C01,,,
041.106.02.2024,1101252,8430525155541,VP-C01,,,
028.001.01.2022,1101252,8430525155541,VP-C01,,,
028.001.01.2023,1101252,8430525155541,VP-C01,,,
926.082.02.2022,1101252,8430525155541,VP-C01,,,
926.082.02.2023,1101252,8430525155541,VP-C01,,,
041.105.01.2023,1101252,8430525155541,VP-C01,,,
041.105.01.2024,1101252,8430525155541,VP-C01,,,
041.105.02.2023,1101252,8430525155541,VP-C01,,,
041.105.02.2024,1101252,8430525155541,VP-C01,,,
926.081.01.2023,1101252,8430525155541,VP-C01,,,
926.081.01.2024,1101252,8430525155541,VP-C01,,,
926.081.02.2022,1101252,8430525155541,VP-C01,,,
926.081.02.2023,1101252,8430525155541,VP-C01,,,
926.082.01.2022,1101252,8430525155541,VP-C01,,,
926.082.01.2023,1101252,8430525155541,VP-C01,,,
032.152.02.2022,1101252,8430525155541,VP-C01,,,
032.152.02.2023,1101252,8430525155541,VP-C01,,,
926.080.01.2022,1101252,8430525155541,VP-C01,,,
926.080.01.2023,1101252,8430525155541,VP-C01,,,
926.080.02.2022,1101252,8430525155541,VP-C01,,,
926.080.02.2023,1101252,8430525155541,VP-C01,,,
105.356.02.2024,1101224,15499,TB-1947,,,
105.354.01.2024,1101224,15499,TB-1947,,,
032.152.03.2023,1101252,8430525155541,VP-C01,,,
032.152.03.2024,1101252,8430525155541,VP-C01,,,
032.152.01.2022,1101252,8430525155541,VP-C01,,,
032.152.01.2023,1101252,8430525155541,VP-C01,,,
926.082.01.2023,1101224,15499,TB-1947,,,
926.082.02.2022,1101224,15499,TB-1947,,,
926.082.02.2023,1101224,15499,TB-1947,,,
105.356.01.2023,1101224,15499,TB-1947,,,
105.356.01.2024,1101224,15499,TB-1947,,,
105.356.02.2023,1101224,15499,TB-1947,,,
926.080.02.2023,1101224,15499,TB-1947,,,
926.081.01.2023,1101224,15499,TB-1947,,,
926.081.01.2024,1101224,15499,TB-1947,,,
926.081.02.2022,1101224,15499,TB-1947,,,
926.081.02.2023,1101224,15499,TB-1947,,,
