file,line,column,type,code,message,docs,severity,link
sync-sku-from-compatibility.php,231,13,WARNING,WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedVariableFound,"Global variables defined by a theme/plugin should start with the theme/plugin prefix. Found: &quot;$wc_products&quot;.",,6,https://bisque-seal-123062.hostingersite.com/wp-admin/plugin-editor.php?plugin=BIHR-SYNCH-main%2Fbihr-woocommerce-importer.php&file=BIHR-SYNCH-main%2Fsync-sku-from-compatibility.php&line=231
sync-sku-from-compatibility.php,231,28,WARNING,WordPress.DB.DirectDatabaseQuery.DirectQuery,"Use of a direct database call is discouraged.",,5,https://bisque-seal-123062.hostingersite.com/wp-admin/plugin-editor.php?plugin=BIHR-SYNCH-main%2Fbihr-woocommerce-importer.php&file=BIHR-SYNCH-main%2Fsync-sku-from-compatibility.php&line=231
sync-sku-from-compatibility.php,231,28,WARNING,WordPress.DB.DirectDatabaseQuery.NoCaching,"Direct database call without caching detected. Consider using wp_cache_get() / wp_cache_set() or wp_cache_delete().",,5,https://bisque-seal-123062.hostingersite.com/wp-admin/plugin-editor.php?plugin=BIHR-SYNCH-main%2Fbihr-woocommerce-importer.php&file=BIHR-SYNCH-main%2Fsync-sku-from-compatibility.php&line=231
sync-sku-from-compatibility.php,232,13,WARNING,WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedVariableFound,"Global variables defined by a theme/plugin should start with the theme/plugin prefix. Found: &quot;$wc_sku_count&quot;.",,6,https://bisque-seal-123062.hostingersite.com/wp-admin/plugin-editor.php?plugin=BIHR-SYNCH-main%2Fbihr-woocommerce-importer.php&file=BIHR-SYNCH-main%2Fsync-sku-from-compatibility.php&line=232
sync-sku-from-compatibility.php,232,29,WARNING,WordPress.DB.DirectDatabaseQuery.DirectQuery,"Use of a direct database call is discouraged.",,5,https://bisque-seal-123062.hostingersite.com/wp-admin/plugin-editor.php?plugin=BIHR-SYNCH-main%2Fbihr-woocommerce-importer.php&file=BIHR-SYNCH-main%2Fsync-sku-from-compatibility.php&line=232
sync-sku-from-compatibility.php,232,29,WARNING,WordPress.DB.DirectDatabaseQuery.NoCaching,"Direct database call without caching detected. Consider using wp_cache_get() / wp_cache_set() or wp_cache_delete().",,5,https://bisque-seal-123062.hostingersite.com/wp-admin/plugin-editor.php?plugin=BIHR-SYNCH-main%2Fbihr-woocommerce-importer.php&file=BIHR-SYNCH-main%2Fsync-sku-from-compatibility.php&line=232
sync-sku-from-compatibility.php,250,13,WARNING,WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedVariableFound,"Global variables defined by a theme/plugin should start with the theme/plugin prefix. Found: &quot;$samples&quot;.",,6,https://bisque-seal-123062.hostingersite.com/wp-admin/plugin-editor.php?plugin=BIHR-SYNCH-main%2Fbihr-woocommerce-importer.php&file=BIHR-SYNCH-main%2Fsync-sku-from-compatibility.php&line=250
sync-sku-from-compatibility.php,250,24,WARNING,WordPress.DB.DirectDatabaseQuery.DirectQuery,"Use of a direct database call is discouraged.",,5,https://bisque-seal-123062.hostingersite.com/wp-admin/plugin-editor.php?plugin=BIHR-SYNCH-main%2Fbihr-woocommerce-importer.php&file=BIHR-SYNCH-main%2Fsync-sku-from-compatibility.php&line=250
sync-sku-from-compatibility.php,250,24,WARNING,WordPress.DB.DirectDatabaseQuery.NoCaching,"Direct database call without caching detected. Consider using wp_cache_get() / wp_cache_set() or wp_cache_delete().",,5,https://bisque-seal-123062.hostingersite.com/wp-admin/plugin-editor.php?plugin=BIHR-SYNCH-main%2Fbihr-woocommerce-importer.php&file=BIHR-SYNCH-main%2Fsync-sku-from-compatibility.php&line=250
sync-sku-from-compatibility.php,250,31,ERROR,PluginCheck.Security.DirectDB.UnescapedDBParameter,"Unescaped parameter $compat_lookup_expr used in $wpdb->get_results(""\n                SELECT \n                    pm_code.post_id as wc_id,\n                    p.post_title as name,\n                    pm_code.meta_value as product_code,\n                    pm_new.meta_value as new_part_number,\n                    pm_sku.meta_value as current_sku,\n                    vc.part_number\n                FROM {$wpdb->postmeta} pm_code\n                INNER JOIN {$wpdb->posts} p ON p.ID = pm_code.post_id\n                LEFT JOIN {$wpdb->postmeta} pm_new ON pm_new.post_id = pm_code.post_id AND pm_new.meta_key = '_bihr_new_part_number'\n                LEFT JOIN {$wpdb->postmeta} pm_sku ON pm_sku.post_id = pm_code.post_id AND pm_sku.meta_key = '_sku'\n                LEFT JOIN {$wpdb->prefix}bihr_vehicle_compatibility vc ON vc.part_number = {$compat_lookup_expr}\n                WHERE pm_code.meta_key = '_bihr_product_code'\n                AND pm_code.meta_value IS NOT NULL\n                AND pm_code.meta_value != ''\n                AND p.post_type = 'product'\n                GROUP BY pm_code.post_id\n                LIMIT 10\n            "")\n$compat_lookup_expr assigned unsafely at line 62:\n $compat_lookup_expr = 'COALESCE(pm_new.meta_value, pm_sku.meta_value, pm_code.meta_value)'\n$_GET['action'] used without escaping.",,10,https://bisque-seal-123062.hostingersite.com/wp-admin/plugin-editor.php?plugin=BIHR-SYNCH-main%2Fbihr-woocommerce-importer.php&file=BIHR-SYNCH-main%2Fsync-sku-from-compatibility.php&line=250
sync-sku-from-compatibility.php,262,1,WARNING,WordPress.DB.PreparedSQL.InterpolatedNotPrepared,"Use placeholders and $wpdb-&gt;prepare(); found interpolated variable {$compat_lookup_expr} at                 LEFT JOIN {$wpdb-&gt;prefix}bihr_vehicle_compatibility vc ON vc.part_number = {$compat_lookup_expr}\n",,5,https://bisque-seal-123062.hostingersite.com/wp-admin/plugin-editor.php?plugin=BIHR-SYNCH-main%2Fbihr-woocommerce-importer.php&file=BIHR-SYNCH-main%2Fsync-sku-from-compatibility.php&line=262
sync-sku-from-compatibility.php,274,34,WARNING,WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedVariableFound,"Global variables defined by a theme/plugin should start with the theme/plugin prefix. Found: &quot;$row&quot;.",,6,https://bisque-seal-123062.hostingersite.com/wp-admin/plugin-editor.php?plugin=BIHR-SYNCH-main%2Fbihr-woocommerce-importer.php&file=BIHR-SYNCH-main%2Fsync-sku-from-compatibility.php&line=274
sync-sku-from-compatibility.php,275,17,WARNING,WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedVariableFound,"Global variables defined by a theme/plugin should start with the theme/plugin prefix. Found: &quot;$current_sku&quot;.",,6,https://bisque-seal-123062.hostingersite.com/wp-admin/plugin-editor.php?plugin=BIHR-SYNCH-main%2Fbihr-woocommerce-importer.php&file=BIHR-SYNCH-main%2Fsync-sku-from-compatibility.php&line=275
sync-sku-from-compatibility.php,276,17,WARNING,WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedVariableFound,"Global variables defined by a theme/plugin should start with the theme/plugin prefix. Found: &quot;$part_number&quot;.",,6,https://bisque-seal-123062.hostingersite.com/wp-admin/plugin-editor.php?plugin=BIHR-SYNCH-main%2Fbihr-woocommerce-importer.php&file=BIHR-SYNCH-main%2Fsync-sku-from-compatibility.php&line=276
